City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
0,Hosakote,IN,82.08,overcast clouds,14.2769,77.1699,AVN lodge
9,Victoria,HK,91.45,scattered clouds,22.2855,114.1577,Mini Central
16,Hithadhoo,MV,81.97,scattered clouds,-0.6,73.0833,Scoop Guest House
28,Kahului,US,80.62,scattered clouds,20.8947,-156.47,Maui Seaside Hotel
37,Ternate,ID,84.15,broken clouds,0.8,127.4,Sahid Bela Ternate Hotel
42,Namatanai,PG,83.8,broken clouds,-3.6667,152.4333,Seagulls Inn Namatani
48,Kapaa,US,82.38,moderate rain,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
57,Najran,SA,84.85,scattered clouds,17.4924,44.1277,محمد هادي ال فطيح
61,Bontang,ID,83.86,overcast clouds,0.1333,117.5,KOPKAR Hotel Bintang Sintuk
77,Butaritari,KI,81.97,overcast clouds,3.0707,172.7902,Isles Sunset Lodge
85,Bathsheba,BB,83.01,scattered clouds,13.2167,-59.5167,Atlantis Hotel
94,Kulpahar,IN,84.42,broken clouds,25.3167,79.65,Peetambra Marriage Garden
95,Manokwari,ID,83.64,scattered clouds,-0.8667,134.0833,Swiss Belhotel Manokwari
107,Shache,CN,80.35,broken clouds,38.4167,77.2406,Delong Hotel
110,Bengkulu,ID,81.46,broken clouds,-3.8004,102.2655,Grage Hotel Bengkulu
125,Marsh Harbour,BS,83.21,clear sky,26.5412,-77.0636,Abaco Beach Resort
128,Kifri,IQ,89.47,light rain,34.6959,44.9661,بيت نزهان الحديدي
135,Kavaratti,IN,81.05,clear sky,10.5669,72.642,Green leaf
140,Gazanjyk,TM,89.19,clear sky,39.2446,55.5154,Railway motel
144,Georgetown,MY,83.89,few clouds,5.4112,100.3354,Cititel Penang
145,Cabo San Lucas,MX,80.06,few clouds,22.8909,-109.9124,Hotel Tesoro Los Cabos
151,Hobyo,SO,81.09,broken clouds,5.3505,48.5268,Halane Hotel and Restaurent
154,Lorengau,PG,83.3,broken clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
167,Buala,SB,81.05,light rain,-8.145,159.5921,Maringe Lagoon Lodge
177,Honiara,SB,80.08,overcast clouds,-9.4333,159.95,Heritage Park Hotel
